Keyword;URL;Fecha;Pais;Categoria;Subcategoria;Personaje;Marca
pasta amendoim;https://lista.mercadolivre.com.br/pasta-amendoim#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;
biscoito;https://lista.mercadolivre.com.br/biscoito#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;
aro;https://listado.mercadolibre.cl/aro#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;
vinagre de limpieza;https://listado.mercadolibre.cl/vinagre-de-limpieza#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;
pimienta dulce;https://listado.mercadolibre.cl/pimienta-dulce#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;
tortas;https://listado.mercadolibre.cl/tortas#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;
pimienta de jamaica;https://listado.mercadolibre.cl/pimienta-de-jamaica#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;
torta;https://listado.mercadolibre.cl/torta#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;
conservadora;https://listado.mercadolibre.cl/conservadora#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;
dulces mexicanos;https://listado.mercadolibre.cl/dulces-mexicanos#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;
knop;https://listado.mercadolibre.cl/knop#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;
levadura nutricional;https://listado.mercadolibre.cl/levadura-nutricional#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;
chocolate;https://listado.mercadolibre.cl/chocolate#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;
azucar;https://listado.mercadolibre.cl/azucar#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;
arroz;https://listado.mercadolibre.cl/arroz#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;
atun;https://listado.mercadolibre.cl/atun#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;
nutella gigante;https://listado.mercadolibre.cl/nutella-gigante#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;nutella
milo;https://listado.mercadolibre.cl/milo#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;
mantequilla de mani;https://listado.mercadolibre.cl/mantequilla-de-mani#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;
charqui;https://listado.mercadolibre.cl/charqui#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;
azucar sachet;https://listado.mercadolibre.cl/azucar-sachet#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;
kimchi;https://listado.mercadolibre.cl/kimchi#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;
chia;https://listado.mercadolibre.cl/chia#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;
maruchan;https://listado.mercadolibre.cl/maruchan#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;
cereales;https://listado.mercadolibre.cl/cereales#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;
aceite vegetal merkat;https://listado.mercadolibre.cl/aceite-vegetal-merkat#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;
leche de cabra;https://listado.mercadolibre.cl/leche-de-cabra#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;
atun lomitos;https://listado.mercadolibre.cl/atun-lomitos#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;
andina grains;https://listado.mercadolibre.cl/andina-grains#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;
porotos;https://listado.mercadolibre.cl/porotos#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;
nestle professional;https://listado.mercadolibre.cl/nestle-professional#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;nestle
papayas;https://listado.mercadolibre.cl/papayas#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;
manjar;https://listado.mercadolibre.cl/manjar#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;
nestle;https://listado.mercadolibre.cl/nestle#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;nestle
unimarc;https://listado.mercadolibre.cl/unimarc#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;
leche condensada;https://listado.mercadolibre.cl/leche-condensada#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;
mantequilla mani;https://listado.mercadolibre.cl/mantequilla-mani#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;
caja dulces japoneses;https://listado.mercadolibre.cl/caja-dulces-japoneses#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;
cereal;https://listado.mercadolibre.cl/cereal#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;
sopas maruchan;https://listado.mercadolibre.cl/sopas-maruchan#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;
carozzi;https://listado.mercadolibre.cl/carozzi#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;
tapioca;https://listado.mercadolibre.cl/tapioca#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;
caja de aceite vegetal;https://listado.mercadolibre.cl/caja-de-aceite-vegetal#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;
milo nestle;https://listado.mercadolibre.cl/milo-nestle#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;nestle
super 8;https://listado.mercadolibre.cl/super-8#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;
comida coreana;https://listado.mercadolibre.cl/comida-coreana#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;
granola;https://listado.mercadolibre.cl/granola#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;
vinagre blanco;https://listado.mercadolibre.cl/vinagre-blanco#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;
nuestra cocina;https://listado.mercadolibre.cl/nuestra-cocina#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;
syrup;https://listado.mercadolibre.cl/syrup#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;
tabletones;https://listado.mercadolibre.cl/tabletones#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;
kit kat;https://listado.mercadolibre.cl/kit-kat#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;kat
helado;https://listado.mercadolibre.com.co/helado#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;
jamon iberico;https://listado.mercadolibre.com.co/jamon-iberico#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;
regalo para mujer;https://listado.mercadolibre.com.co/regalo-para-mujer#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;
armenia quindio;https://listado.mercadolibre.com.co/armenia-quindio#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;
stevia liquida;https://listado.mercadolibre.com.co/stevia-liquida#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;
stevia;https://listado.mercadolibre.com.co/stevia#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;
salsa chamoy;https://listado.mercadolibre.com.co/salsa-chamoy#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;
vinagre manzana;https://listado.mercadolibre.com.co/vinagre-manzana#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;
pimienta dulce;https://listado.mercadolibre.com.co/pimienta-dulce#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;
dulces japoneses;https://listado.mercadolibre.com.co/dulces-japoneses#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;
almendras;https://listado.mercadolibre.com.co/almendras#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;
pistachos;https://listado.mercadolibre.com.co/pistachos#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;
arroz;https://listado.mercadolibre.com.co/arroz#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;
alulosa;https://listado.mercadolibre.com.co/alulosa#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;
avena;https://listado.mercadolibre.com.co/avena#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;
carne seca;https://listado.mercadolibre.com.co/carne-seca#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;
xilitol;https://listado.mercadolibre.com.co/xilitol#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;
avellana;https://listado.mercadolibre.com.co/avellana#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;
miguelito chamoy;https://listado.mercadolibre.com.co/miguelito-chamoy#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;
atun;https://listado.mercadolibre.com.co/atun#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;
shirataki;https://listado.mercadolibre.com.co/shirataki#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;
marañon;https://listado.mercadolibre.com.co/marañon#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;
cacao;https://listado.mercadolibre.com.co/cacao#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;
datiles;https://listado.mercadolibre.com.co/datiles#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;
ajonjoli;https://listado.mercadolibre.com.co/ajonjoli#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;
aceitunas negras;https://listado.mercadolibre.com.co/aceitunas-negras#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;
amaranto;https://listado.mercadolibre.com.co/amaranto#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;
why not;https://listado.mercadolibre.com.co/why-not#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;
almendas;https://listado.mercadolibre.com.co/almendas#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;
atun enlatado;https://listado.mercadolibre.com.co/atun-enlatado#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;
caviar;https://listado.mercadolibre.com.co/caviar#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;
chamoy;https://listado.mercadolibre.com.co/chamoy#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;
mani;https://listado.mercadolibre.com.co/mani#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;
azucar;https://listado.mercadolibre.com.co/azucar#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;
nutella;https://listado.mercadolibre.com.co/nutella#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;nutella
jarabe mero macho original;https://listado.mercadolibre.com.co/jarabe-mero-macho-original#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;macho
dulces;https://listado.mercadolibre.com.co/dulces#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;
mate;https://listado.mercadolibre.com.co/mate#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;
dulces mexicanos;https://listado.mercadolibre.com.co/dulces-mexicanos#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;
takis;https://listado.mercadolibre.com.co/takis#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;
yerba mate;https://listado.mercadolibre.com.co/yerba-mate#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;
chocolates;https://listado.mercadolibre.com.co/chocolates#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;
mero macho;https://listado.mercadolibre.com.co/mero-macho#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;macho
ramen;https://listado.mercadolibre.com.co/ramen#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;
regalos mujer;https://listado.mercadolibre.com.co/regalos-mujer#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;
takis fuego;https://listado.mercadolibre.com.co/takis-fuego#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;
aceite de oliva;https://listado.mercadolibre.com.co/aceite-de-oliva#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;
cafe;https://listado.mercadolibre.com.co/cafe#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;
dulces importados;https://listado.mercadolibre.com.co/dulces-importados#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;
mero macho original;https://listado.mercadolibre.com.co/mero-macho-original#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;macho
pastillas aguaje;https://listado.mercadolibre.com.mx/pastillas-aguaje#trend;2022-08-26;Mexico;Alimentos y Bebidas;Almacén;;
aguaje natural medix;https://listado.mercadolibre.com.mx/aguaje-natural-medix#trend;2022-08-26;Mexico;Alimentos y Bebidas;Almacén;;natural
pimienta dulce;https://listado.mercadolibre.com.mx/pimienta-dulce#trend;2022-08-26;Mexico;Alimentos y Bebidas;Almacén;;
moringa;https://listado.mercadolibre.com.mx/moringa#trend;2022-08-26;Mexico;Alimentos y Bebidas;Almacén;;
aguaje siempre bella;https://listado.mercadolibre.com.mx/aguaje-siempre-bella#trend;2022-08-26;Mexico;Alimentos y Bebidas;Almacén;;
caviar;https://listado.mercadolibre.com.mx/caviar#trend;2022-08-26;Mexico;Alimentos y Bebidas;Almacén;;
levadura de cerveza;https://listado.mercadolibre.com.mx/levadura-de-cerveza#trend;2022-08-26;Mexico;Alimentos y Bebidas;Almacén;;
polvo de takis fuego;https://listado.mercadolibre.com.mx/polvo-de-takis-fuego#trend;2022-08-26;Mexico;Alimentos y Bebidas;Almacén;;
dulces americanos;https://listado.mercadolibre.com.mx/dulces-americanos#trend;2022-08-26;Mexico;Alimentos y Bebidas;Almacén;;
aguaje capsulas;https://listado.mercadolibre.com.mx/aguaje-capsulas#trend;2022-08-26;Mexico;Alimentos y Bebidas;Almacén;;
atun;https://listado.mercadolibre.com.mx/atun#trend;2022-08-26;Mexico;Alimentos y Bebidas;Almacén;;
cacahuates;https://listado.mercadolibre.com.mx/cacahuates#trend;2022-08-26;Mexico;Alimentos y Bebidas;Almacén;;
acido citrico;https://listado.mercadolibre.com.mx/acido-citrico#trend;2022-08-26;Mexico;Alimentos y Bebidas;Almacén;;
sabritas;https://listado.mercadolibre.com.mx/sabritas#trend;2022-08-26;Mexico;Alimentos y Bebidas;Almacén;;
